Area,die1,die2,die3,die4,die5,die6,die7,die8,die9
50,0.4801389926240001,1.313424500803,2.003215133715,2.684325975267,3.616481812594,4.132669224621,5.102587355606,5.585457993247,6.647081530539
100,1.106256051698,2.939325970476,4.496788572747,6.06761491122,8.277654324246999,9.44795070199,11.862529150344,12.971516847164,15.718266613214
150,1.900020025726,4.936080128349,7.5808449063909995,10.289844637135,14.217623811564001,16.216598235183,20.707118742602,22.609870413383,27.9428903283
200,2.8902581801500005,7.364416415834,11.352359161906001,15.490932994448,21.672674896774,24.706081669513,32.08874032783,34.981730153118,44.14197865513601
250,4.11463478855,10.302482456352001,15.934638493939,21.847580428159,30.936098427422998,35.24953876741699,46.571970459601,50.689336893179,65.361016484152
300,5.610276101807,13.827374946304998,21.449895073621995,29.536721636214004,42.314276264388,48.192853850624,64.778546003165,70.39155375012301,92.81898450439701
350,7.435984432474,18.05964067102,28.086093052060995,38.824781805622,56.240045211634005,64.03034996436,87.553441411379,94.99215748888902,128.14548847068602
400,9.638248478926998,23.095326751943,35.995085297638006,49.932019535369996,73.105084816277,83.203254777105,115.73866253049101,125.379642654522,173.11786900356603
450,12.289347086552,29.082204580936,45.407002358608,63.185226138747,93.452951243871,106.33089563162599,150.453156015374,162.745234747026,230.053981170746
500,15.473188506663,36.191459833856996,56.587839129154,78.96137190088,117.91101693974798,134.12853516492,193.00853274928502,208.484452901043,301.742359777938
550,19.278802387495002,44.604685898136005,69.81999759853099,97.661876421762,147.160932023573,167.371384090679,244.88021349581396,264.161747528429,391.45001399278704
600,23.800862452391,54.51493779539501,85.403922300644,119.715018736745,181.944521902172,206.90108514186102,307.729835128823,331.53342922630804,503.003324190337
650,29.179618855131004,66.20660510342002,103.777966723142,145.736005473832,223.267039748199,253.868966704917,383.70577448778096,412.888124988001,641.2346192085371
700,35.53812240103199,79.929868525102,125.33013795174399,176.27622751216703,272.08720891954897,309.363384058428,475.027183500904,510.56803754707397,811.5166460212639
750,43.04861192968401,96.033482834515,150.59733386332897,212.089191768629,329.653436879526,374.81240162197895,584.474868633038,627.5262122077679,1020.473158579231
800,51.88101434611401,114.86178525976399,180.11092163455,253.92492741782502,397.250974382309,451.679539980215,715.059911927902,766.9436579190809,1275.6436767936837
850,62.272455613609,136.89372597955702,214.605352742957,302.808461127208,476.554539207104,541.886005790024,870.542590583609,932.8177778422689,1586.254134329974
