Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Vendor,#dies,Avg Die Area,Emb_Carbon_Min,Ope_Carbon_Min,Tot_Carbon_Min,Emb_Carbon_Max,Ope_Carbon_Max,Tot_Carbon_Max,Emb_Carbon_Mean,Ope_Carbon_Mean,Tot_Carbon_Mean
AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,180.0,426.0,2x 213,AMD,2,213.0,5.64677667,108.80663547,114.45341214,13.14477382,123.24218089,136.38695471,7.739988243797,117.92389312646,125.663881370257
AMD Ryzen Threadripper 1920X,CPU,2017-08-10,14.0,180.0,426.0,2x 213,AMD,2,213.0,5.64677667,108.80663547,114.45341214,13.14477382,123.24218089,136.38695471,7.739988243797,117.92389312646,125.663881370257
AMD Ryzen Threadripper 1950X,CPU,2017-08-10,14.0,180.0,426.0,2x 213,AMD,2,213.0,5.64677667,108.80663547,114.45341214,13.14477382,123.24218089,136.38695471,7.739988243797,117.92389312646,125.663881370257
AMD Ryzen 9 3900X,CPU,2019-07-07,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
AMD Ryzen 9 3950X,CPU,2019-11-25,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
AMD Ryzen Threadripper 3960X,CPU,2019-11-25,7.0,280.0,148.0,4x 74,AMD,4,74.0,6.83469775,205.00790399,211.84260174,10.24698216,232.20662119,242.45360335,8.168315297135,222.186175085823,230.354490382958
AMD Ryzen Threadripper 3970X,CPU,2019-11-25,7.0,280.0,148.0,4x 74,AMD,4,74.0,6.83469775,205.00790399,211.84260174,10.24698216,232.20662119,242.45360335,8.168315297135,222.186175085823,230.354490382958
AMD Ryzen 9 3900XT,CPU,2020-07-07,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
AMD Ryzen 9 5900X,CPU,2020-11-05,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
AMD Ryzen 9 5950X,CPU,2020-11-05,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
AMD Ryzen Threadripper 3990X,CPU,2020-02-07,7.0,280.0,592.0,8x 74,AMD,8,74.0,14.02104997,205.00790399,219.02895396,21.087002,232.20662119,253.29362319,16.789834635203,222.186175085823,238.976009721026
AMD Ryzen Threadripper PRO 3945WX,CPU,2020-07-14,7.0,280.0,296.0,4x 74,AMD,4,74.0,6.83469775,205.00790399,211.84260174,10.24698216,232.20662119,242.45360335,8.168315297135,222.186175085823,230.354490382958
AMD Ryzen Threadripper PRO 3955WX,CPU,2020-07-14,7.0,280.0,296.0,4x 74,AMD,4,74.0,6.83469775,205.00790399,211.84260174,10.24698216,232.20662119,242.45360335,8.168315297135,222.186175085823,230.354490382958
AMD Ryzen Threadripper PRO 3975WX,CPU,2020-07-14,7.0,280.0,296.0,4x 74,AMD,4,74.0,6.83469775,205.00790399,211.84260174,10.24698216,232.20662119,242.45360335,8.168315297135,222.186175085823,230.354490382958
AMD Ryzen Threadripper PRO 3995WX,CPU,2020-07-14,7.0,280.0,592.0,8x 74,AMD,8,74.0,14.02104997,205.00790399,219.02895396,21.087002,232.20662119,253.29362319,16.789834635203,222.186175085823,238.976009721026
AMD EPYC 7373X,CPU,2022-03-22,7.0,240.0,648.0,8x 81,AMD,8,81.0,15.47483547,175.72106056,191.19589604,23.52352549,199.03424674,222.55777222,18.582009182341,190.44529293062203,209.02730211296304
AMD EPYC 7473X,CPU,2022-03-22,7.0,240.0,648.0,8x 81,AMD,8,81.0,15.47483547,175.72106056,191.19589604,23.52352549,199.03424674,222.55777222,18.582009182341,190.44529293062203,209.02730211296304
AMD EPYC 7573X,CPU,2022-03-22,7.0,280.0,648.0,8x 81,AMD,8,81.0,15.47483547,205.00790399,220.48273946,23.52352549,232.20662119,255.73014668,18.582009182341,222.186175085823,240.76818426816402
AMD EPYC 7773X,CPU,2022-03-22,7.0,280.0,648.0,8x 81,AMD,8,81.0,15.47483547,205.00790399,220.48273946,23.52352549,232.20662119,255.73014668,18.582009182341,222.186175085823,240.76818426816402
AMD Ryzen Threadripper PRO 5945WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,AMD,4,81.0,7.52699488,205.00790399,212.53489887,11.40691219,232.20662119,243.61353338,9.019818659936,222.186175085823,231.205993745759
AMD Ryzen Threadripper PRO 5955WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,AMD,4,81.0,7.52699488,205.00790399,212.53489887,11.40691219,232.20662119,243.61353338,9.019818659936,222.186175085823,231.205993745759
AMD Ryzen Threadripper PRO 5965WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,AMD,4,81.0,7.52699488,205.00790399,212.53489887,11.40691219,232.20662119,243.61353338,9.019818659936,222.186175085823,231.205993745759
AMD Ryzen Threadripper PRO 5975WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,AMD,4,81.0,7.52699488,205.00790399,212.53489887,11.40691219,232.20662119,243.61353338,9.019818659936,222.186175085823,231.205993745759
AMD Ryzen Threadripper PRO 5995WX,CPU,2022-03-08,7.0,280.0,648.0,8x 81,AMD,8,81.0,15.47483547,205.00790399,220.48273946,23.52352549,232.20662119,255.73014668,18.582009182341,222.186175085823,240.76818426816402
AMD EPYC 7203,CPU,2023-09-05,7.0,120.0,162.0,2x 81,AMD,2,81.0,3.71368192,87.86053028,91.5742122,5.619448090000001,99.51712337,105.13657146,4.445708626589,95.222646465317,99.668355091906
AMD EPYC 7203P,CPU,2023-09-05,7.0,120.0,162.0,2x 81,AMD,2,81.0,3.71368192,87.86053028,91.5742122,5.619448090000001,99.51712337,105.13657146,4.445708626589,95.222646465317,99.668355091906
AMD EPYC 7303,CPU,2023-09-05,7.0,130.0,162.0,2x 81,AMD,2,81.0,3.71368192,95.18224114,98.89592306,5.619448090000001,107.81021698,113.42966507,4.445708626589,103.157867004018,107.603575630607
AMD EPYC 7303P,CPU,2023-09-05,7.0,130.0,162.0,2x 81,AMD,2,81.0,3.71368192,95.18224114,98.89592306,5.619448090000001,107.81021698,113.42966507,4.445708626589,103.157867004018,107.603575630607
AMD EPYC 7643P,CPU,2023-09-05,7.0,225.0,648.0,8x 81,AMD,8,81.0,15.47483547,164.73849428,180.21332975,23.52352549,186.59460632,210.1181318,18.582009182341,178.54246212235898,197.1244713047
AMD EPYC 7663P,CPU,2023-09-05,7.0,240.0,648.0,8x 81,AMD,8,81.0,15.47483547,175.72106056,191.19589604,23.52352549,199.03424674,222.55777222,18.582009182341,190.44529293062203,209.02730211296304
AMD Ryzen Embedded 5900E,CPU,2023-04-20,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
AMD Ryzen Embedded 5950E,CPU,2023-04-20,7.0,105.0,148.0,2x 74,AMD,2,74.0,3.37487257,76.877964,80.25283657,5.05185775,87.07748295,92.12934069,4.029415112442999,83.319815658437,87.34923077088
Intel Xeon Gold 5512U,CPU,2023-12-14,10.0,185.0,1526.0,2x 763,Intel,2,763.0,36.92802752,123.6747759,160.60280342,251.92501878000002,140.08290061,392.00791939,69.454198002653,134.03788282264603,203.492080825299
