Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,#dies,Avg Die Area,Emb_Carbon_Mean,Ope_Carbon_Mean,Tot_Carbon_Mean
AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,180.0,426.0,2x 213,9600.0,3800.0,GlobalFoundries,AMD,2,213,8.052667032712,118.089995031222,126.142662063934
AMD Ryzen Threadripper 1920X,CPU,2017-08-10,14.0,180.0,426.0,2x 213,9600.0,3500.0,GlobalFoundries,AMD,2,213,8.052667032712,118.089995031222,126.142662063934
AMD Ryzen Threadripper 1950X,CPU,2017-08-10,14.0,180.0,426.0,2x 213,9600.0,3400.0,GlobalFoundries,AMD,2,213,8.052667032712,118.089995031222,126.142662063934
AMD Ryzen 9 3900X,CPU,2019-07-07,7.0,105.0,148.0,2x 74,7600.0,3800.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
AMD Ryzen 9 3950X,CPU,2019-11-25,7.0,105.0,148.0,2x 74,7600.0,3500.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
AMD Ryzen Threadripper 3960X,CPU,2019-11-25,7.0,280.0,148.0,4x 74,15200.0,3800.0,TSMC,AMD,4,74,3.842050721726,222.49913580922205,226.34118653094805
AMD Ryzen Threadripper 3970X,CPU,2019-11-25,7.0,280.0,148.0,4x 74,15200.0,3700.0,TSMC,AMD,4,74,3.842050721726,222.49913580922205,226.34118653094805
AMD Ryzen 9 3900XT,CPU,2020-07-07,7.0,105.0,148.0,2x 74,7600.0,3900.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
AMD Ryzen 9 5900X,CPU,2020-11-05,7.0,105.0,148.0,2x 74,8300.0,3700.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
AMD Ryzen 9 5950X,CPU,2020-11-05,7.0,105.0,148.0,2x 74,8300.0,3400.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
AMD Ryzen Threadripper 3990X,CPU,2020-02-07,7.0,280.0,592.0,8x 74,30400.0,2900.0,TSMC,AMD,8,74,31.086966607258,222.49913580922205,253.58610241648006
AMD Ryzen Threadripper PRO 3945WX,CPU,2020-07-14,7.0,280.0,296.0,4x 74,3800.0,4000.0,TSMC,AMD,4,74,9.44639846998,222.49913580922205,231.94553427920206
AMD Ryzen Threadripper PRO 3955WX,CPU,2020-07-14,7.0,280.0,296.0,4x 74,15200.0,3900.0,TSMC,AMD,4,74,9.44639846998,222.49913580922205,231.94553427920206
AMD Ryzen Threadripper PRO 3975WX,CPU,2020-07-14,7.0,280.0,296.0,4x 74,15200.0,3500.0,TSMC,AMD,4,74,9.44639846998,222.49913580922205,231.94553427920206
AMD Ryzen Threadripper PRO 3995WX,CPU,2020-07-14,7.0,280.0,592.0,8x 74,30400.0,2700.0,TSMC,AMD,8,74,31.086966607258,222.49913580922205,253.58610241648006
AMD EPYC 7373X,CPU,2022-03-22,7.0,240.0,648.0,8x 81,33200.0,3050.0,TSMC,AMD,8,81,37.80137002505299,190.713544979305,228.514915004358
AMD EPYC 7473X,CPU,2022-03-22,7.0,240.0,648.0,8x 81,33200.0,2800.0,TSMC,AMD,8,81,37.80137002505299,190.713544979305,228.514915004358
AMD EPYC 7573X,CPU,2022-03-22,7.0,280.0,648.0,8x 81,33200.0,2800.0,TSMC,AMD,8,81,37.80137002505299,222.49913580922205,260.30050583427504
AMD EPYC 7773X,CPU,2022-03-22,7.0,280.0,648.0,8x 81,33200.0,2200.0,TSMC,AMD,8,81,37.80137002505299,222.49913580922205,260.30050583427504
AMD Ryzen Threadripper PRO 5945WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,16600.0,4100.0,TSMC,AMD,4,81,10.787777559922999,222.49913580922205,233.28691336914505
AMD Ryzen Threadripper PRO 5955WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,16600.0,4000.0,TSMC,AMD,4,81,10.787777559922999,222.49913580922205,233.28691336914505
AMD Ryzen Threadripper PRO 5965WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,16600.0,3800.0,TSMC,AMD,4,81,10.787777559922999,222.49913580922205,233.28691336914505
AMD Ryzen Threadripper PRO 5975WX,CPU,2022-03-08,7.0,280.0,324.0,4x 81,16600.0,3600.0,TSMC,AMD,4,81,10.787777559922999,222.49913580922205,233.28691336914505
AMD Ryzen Threadripper PRO 5995WX,CPU,2022-03-08,7.0,280.0,648.0,8x 81,33200.0,2700.0,TSMC,AMD,8,81,37.80137002505299,222.49913580922205,260.30050583427504
AMD EPYC 7203,CPU,2023-09-05,7.0,120.0,162.0,2x 81,8300.0,2800.0,TSMC,AMD,2,81,4.283073603334,95.35677248964,99.639846092974
AMD EPYC 7203P,CPU,2023-09-05,7.0,120.0,162.0,2x 81,8300.0,2800.0,TSMC,AMD,2,81,4.283073603334,95.35677248964,99.639846092974
AMD EPYC 7303,CPU,2023-09-05,7.0,130.0,162.0,2x 81,8300.0,2400.0,TSMC,AMD,2,81,4.283073603334,103.30317019693899,107.586243800273
AMD EPYC 7303P,CPU,2023-09-05,7.0,130.0,162.0,2x 81,8300.0,2400.0,TSMC,AMD,2,81,4.283073603334,103.30317019693899,107.586243800273
AMD EPYC 7643P,CPU,2023-09-05,7.0,225.0,648.0,8x 81,33200.0,2300.0,TSMC,AMD,8,81,37.80137002505299,178.79394841795397,216.59531844300696
AMD EPYC 7663P,CPU,2023-09-05,7.0,240.0,648.0,8x 81,33200.0,2000.0,TSMC,AMD,8,81,37.80137002505299,190.713544979305,228.514915004358
AMD Ryzen Embedded 5900E,CPU,2023-04-20,7.0,105.0,148.0,2x 74,8300.0,3350.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
AMD Ryzen Embedded 5950E,CPU,2023-04-20,7.0,105.0,148.0,2x 74,8300.0,3050.0,TSMC,AMD,2,74,3.842050721726,83.437175929741,87.279226651467
