Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
AMD Radeon HD 7970,GPU,2011-12-22,28.0,250.0,352.0,352,4313.0,925.0,TSMC,AMD
NVIDIA GeForce 610M,GPU,2011-12-01,28.0,12.0,116.0,116,585.0,625.0,TSMC,NVIDIA
AMD FirePro M4000,GPU,2012-06-27,28.0,33.0,123.0,123,1500.0,675.0,TSMC,AMD
AMD FirePro M6000,GPU,2012-07-01,28.0,43.0,123.0,123,1500.0,800.0,TSMC,AMD
AMD FirePro S10000,GPU,2012-11-12,28.0,375.0,352.0,352,4313.0,825.0,TSMC,AMD
AMD FirePro S10000 Passive,GPU,2012-11-12,28.0,375.0,352.0,352,4313.0,825.0,TSMC,AMD
AMD FirePro S7000,GPU,2012-08-27,28.0,150.0,212.0,212,2800.0,950.0,TSMC,AMD
AMD FirePro S9000,GPU,2012-08-24,28.0,225.0,352.0,352,4313.0,900.0,TSMC,AMD
AMD FirePro S9010,GPU,2012-08-24,28.0,200.0,352.0,352,4313.0,800.0,TSMC,AMD
AMD FirePro W4000,GPU,2012-08-07,28.0,75.0,212.0,212,2800.0,825.0,TSMC,AMD
AMD FirePro W5000,GPU,2012-08-07,28.0,75.0,212.0,212,2800.0,825.0,TSMC,AMD
AMD FirePro W600,GPU,2012-06-13,28.0,75.0,123.0,123,1500.0,750.0,TSMC,AMD
AMD FirePro W7000,GPU,2012-06-13,28.0,150.0,212.0,212,2800.0,950.0,TSMC,AMD
AMD FirePro W8000,GPU,2012-06-14,28.0,225.0,352.0,352,4313.0,900.0,TSMC,AMD
AMD FirePro W9000,GPU,2012-06-14,28.0,274.0,352.0,352,4313.0,975.0,TSMC,AMD
AMD Radeon HD 7870 XT,GPU,2012-11-19,28.0,185.0,352.0,352,4313.0,925.0,TSMC,AMD
AMD Radeon HD 7950 Boost,GPU,2012-06-22,28.0,200.0,352.0,352,4313.0,850.0,TSMC,AMD
AMD Radeon HD 7950M,GPU,2012-04-24,28.0,75.0,212.0,212,2800.0,700.0,TSMC,AMD
AMD Radeon HD 7970 GHz Edition,GPU,2012-06-22,28.0,300.0,352.0,352,4313.0,1000.0,TSMC,AMD
AMD Radeon HD 7970 X2,GPU,2012-08-31,28.0,500.0,352.0,352,4313.0,925.0,TSMC,AMD
AMD Radeon HD 7970M X2,GPU,2012-04-24,28.0,200.0,212.0,212,2800.0,850.0,TSMC,AMD
Intel HD Graphics 4000 Mobile,GPU,2012-05-14,22.0,45.0,133.0,133,1200.0,650.0,Intel,Intel
Intel HD Graphics 6EU Mobile,GPU,2012-10-01,22.0,45.0,94.0,94,392.0,350.0,Intel,Intel
Intel HD Graphics P4000,GPU,2012-05-14,22.0,45.0,133.0,133,1200.0,650.0,Intel,Intel
Intel Xeon Phi 3120A,GPU,2012-11-12,22.0,300.0,720.0,720,5000.0,1100.0,Intel,Intel
Intel Xeon Phi 5110P,GPU,2012-11-12,22.0,225.0,720.0,720,5000.0,1053.0,Intel,Intel
Intel Xeon Phi SE10X,GPU,2012-11-12,22.0,300.0,720.0,720,5000.0,1100.0,Intel,Intel
NVIDIA GeForce GT 625M,GPU,2012-10-01,28.0,15.0,116.0,116,585.0,625.0,TSMC,NVIDIA
NVIDIA GeForce GT 630 OEM,GPU,2012-04-24,28.0,50.0,118.0,118,1270.0,875.0,TSMC,NVIDIA
NVIDIA GeForce GT 640,GPU,2012-06-05,28.0,65.0,118.0,118,1270.0,902.0,TSMC,NVIDIA
NVIDIA GeForce GT 640 OEM,GPU,2012-04-24,28.0,50.0,118.0,118,1270.0,797.0,TSMC,NVIDIA
NVIDIA GeForce GT 645M,GPU,2012-10-01,28.0,32.0,118.0,118,1270.0,709.0,TSMC,NVIDIA
NVIDIA GeForce GT 650M Mac Edition,GPU,2012-07-12,28.0,45.0,118.0,118,1270.0,900.0,TSMC,NVIDIA
NVIDIA GeForce GTX 650,GPU,2012-09-06,28.0,65.0,118.0,118,1270.0,1058.0,TSMC,NVIDIA
NVIDIA GeForce GTX 650 Ti,GPU,2012-10-09,28.0,110.0,221.0,221,2540.0,928.0,TSMC,NVIDIA
NVIDIA GeForce GTX 660,GPU,2012-09-06,28.0,140.0,221.0,221,2540.0,980.0,TSMC,NVIDIA
NVIDIA GeForce GTX 660 OEM,GPU,2012-08-22,28.0,130.0,294.0,294,3540.0,823.0,TSMC,NVIDIA
NVIDIA GeForce GTX 660 OEM,GPU,2012-08-22,28.0,130.0,294.0,294,3540.0,823.0,TSMC,NVIDIA
NVIDIA GeForce GTX 660 Ti,GPU,2012-08-16,28.0,150.0,294.0,294,3540.0,915.0,TSMC,NVIDIA
NVIDIA GeForce GTX 670,GPU,2012-05-10,28.0,170.0,294.0,294,3540.0,915.0,TSMC,NVIDIA
NVIDIA GeForce GTX 670MX,GPU,2012-10-01,28.0,75.0,294.0,294,3540.0,601.0,TSMC,NVIDIA
NVIDIA GeForce GTX 675MX,GPU,2012-10-01,28.0,100.0,294.0,294,3540.0,654.0,TSMC,NVIDIA
NVIDIA GeForce GTX 680M,GPU,2012-06-04,28.0,100.0,294.0,294,3540.0,719.0,TSMC,NVIDIA
NVIDIA GeForce GTX 680MX Mac Edition,GPU,2012-10-23,28.0,122.0,294.0,294,3540.0,719.0,TSMC,NVIDIA
