Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
Intel Core i5-3335S,CPU,2012-11-01,22.0,65.0,160.0,160,1480.0,2700.0,Intel,Intel
Intel Core i7-3525M,CPU,2012-11-01,22.0,35.0,160.0,160,1480.0,2900.0,Intel,Intel
Intel Core i7-3630QM,CPU,2012-09-30,22.0,45.0,160.0,160,1480.0,2400.0,Intel,Intel
Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,160,1480.0,2200.0,Intel,Intel
Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,160,1480.0,2200.0,Intel,Intel
Intel Core i7-3635QM,CPU,2012-09-01,22.0,45.0,160.0,160,1480.0,2400.0,Intel,Intel
Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2700.0,Intel,Intel
Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2700.0,Intel,Intel
Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2800.0,Intel,Intel
Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,160.0,160,1400.0,2800.0,Intel,Intel
Intel Core i7-3940XM,CPU,2012-09-03,22.0,55.0,160.0,160,1400.0,3000.0,Intel,Intel
Intel Pentium 2020M,CPU,2012-09-01,22.0,35.0,118.0,118,1400.0,2400.0,Intel,Intel
Intel Pentium 2117U,CPU,2012-09-01,22.0,17.0,118.0,118,1400.0,1800.0,Intel,Intel
Intel Pentium 2117U,CPU,2012-09-01,22.0,17.0,118.0,118,1400.0,1800.0,Intel,Intel
Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,118.0,118,1400.0,1100.0,Intel,Intel
Intel Xeon Phi 3110X,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1053.0,Intel,Intel
Intel Xeon Phi 5110P,CPU,2012-11-12,22.0,225.0,350.0,350,5000.0,1053.0,Intel,Intel
Intel Xeon Phi 7110P,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1250.0,Intel,Intel
Intel Xeon Phi 7110X,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1250.0,Intel,Intel
Intel Xeon Phi SE10P,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1100.0,Intel,Intel
Intel Xeon Phi SE10X,CPU,2012-11-12,22.0,300.0,350.0,350,5000.0,1100.0,Intel,Intel
Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2000.0,Intel,Intel
Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,118,1400.0,2000.0,Intel,Intel
Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,118.0,118,1400.0,1400.0,Intel,Intel
Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,118.0,118,1400.0,1400.0,Intel,Intel
