Product,Release Date,Process Size (nm),TDP (W),DieSizeValue,Emb CFP,Ope CFP,Tot CFP,ECFPA,OCFPA,Single Core Score,Multi-Core Score
Core i7-3940XM,2012,22,55,160,1.835771319088,29.8549356255,31.690706944588,11.473571,186.59335,645.0,2153.0
Core i7-4930K,2013,22,130,257,3.3861043787179996,70.566211477853,73.952315856571,13.175503,274.5767,655.0,3305.0
Core i7-5960X,2014,22,140,356,5.407291859417,75.99438159184601,81.40167345126301,15.189022,213.46736,1323.0,2508.0
Core i7-6950X,2016,14,140,246,3.647846113949,91.80663002143,95.454476135379,14.828643,373.1977,1318.0,8603.0
Core i7-8700K,2017,14,95,154,2.019337149591,62.29735608664099,64.31669323623198,13.112579,404.5283,1610.0,6511.0
Core i9-9900KS,2019,14,127,180,2.443074737805,83.281728662045,85.72480339985,13.572638,462.6763,1813.0,8639.0
Core i9-10900K,2020,14,125,206,2.89503119161,81.97020537741,84.86523656902,14.05355,397.91364,1760.0,9063.0
Core i9-11900KF,2021,14,125,276,4.257984070058,81.97020537741,86.228189447468,15.42748,296.99353,2329.0,10058.0
Core i9-12900KF,2021,10,125,215,3.90414135753,90.653077214812,94.557218572342,18.158796,421.6422,2589.0,15062.0
Core i9-13900KF,2022,10,125,257,4.912425898929,90.653077214812,95.565503113741,19.114498,352.73572,2918.0,19659.0
Core i9-14900KF,2023,10,125,257,4.912425898929,90.653077214812,95.565503113741,19.114498,352.73572,3095.0,20675.0
